iter	Passed	Remaining
1119	10348	35850
1120	10357	35839
1121	10365	35828
1122	10374	35816
1123	10383	35805
1124	10391	35794
1125	10400	35783
1126	10409	35773
1127	10418	35762
1128	10427	35751
1129	10435	35740
1130	10444	35730
1131	10453	35718
1132	10462	35708
1133	10471	35697
1134	10479	35687
1135	10488	35677
1136	10497	35666
1137	10506	35655
1138	10515	35644
1139	10523	35633
1140	10532	35622
1141	10541	35611
1142	10550	35601
1143	10559	35591
1144	10568	35581
1145	10576	35570
1146	10585	35559
1147	10595	35550
1148	10603	35538
1149	10612	35528
1150	10621	35518
1151	10630	35507
1152	10638	35496
1153	10648	35487
1154	10656	35476
1155	10665	35466
1156	10674	35455
1157	10683	35444
1158	10691	35432
1159	10700	35423
1160	10709	35412
1161	10718	35402
1162	10727	35390
1163	10735	35380
1164	10744	35370
1165	10753	35358
1166	10762	35348
1167	10770	35336
1168	10779	35325
1169	10788	35315
1170	10797	35305
1171	10806	35294
1172	10815	35285
1173	10824	35275
1174	10832	35264
1175	10841	35253
1176	10850	35241
1177	10859	35232
1178	10868	35222
1179	10877	35212
1180	10886	35202
1181	10895	35192
1182	10904	35183
1183	10913	35172
1184	10922	35164
1185	10931	35152
1186	10939	35141
1187	10948	35131
1188	10957	35120
1189	10966	35110
1190	10975	35100
1191	10984	35090
1192	10992	35079
1193	11002	35070
1194	11011	35060
1195	11019	35049
1196	11028	35039
1197	11037	35029
1198	11046	35019
1199	11055	35009
1200	11064	34999
1201	11073	34988
1202	11082	34977
1203	11090	34966
1204	11099	34956
1205	11108	34945
1206	11127	34969
1207	11141	34973
1208	11150	34965
1209	11160	34955
1210	11169	34947
1211	11178	34937
1212	11187	34927
1213	11196	34918
1214	11205	34906
1215	11214	34896
1216	11223	34886
1217	11231	34876
1218	11240	34865
1219	11249	34854
1220	11257	34843
1221	11266	34833
1222	11275	34822
1223	11284	34812
1224	11293	34802
1225	11301	34790
1226	11310	34781
1227	11319	34770
1228	11329	34761
1229	11337	34751
1230	11346	34740
1231	11356	34731
1232	11365	34722
1233	11374	34712
1234	11382	34701
1235	11392	34692
1236	11400	34680
1237	11409	34672
1238	11419	34663
1239	11428	34653
1240	11436	34642
1241	11445	34632
1242	11454	34621
1243	11463	34611
1244	11472	34600
1245	11481	34590
1246	11490	34581
1247	11499	34571
1248	11508	34563
1249	11517	34553
1250	11526	34543
1251	11535	34533
1252	11544	34522
1253	11553	34511
1254	11561	34500
1255	11570	34490
1256	11579	34480
1257	11588	34470
1258	11597	34460
1259	11605	34449
1260	11614	34438
1261	11623	34427
1262	11632	34417
1263	11641	34407
1264	11649	34396
1265	11658	34387
1266	11667	34377
1267	11676	34366
1268	11685	34356
1269	11694	34347
1270	11703	34336
1271	11711	34325
1272	11720	34315
1273	11729	34305
1274	11739	34296
1275	11747	34285
1276	11756	34275
1277	11765	34265
1278	11774	34255
1279	11783	34245
1280	11792	34235
1281	11801	34225
1282	11809	34214
1283	11818	34203
1284	11827	34194
1285	11837	34186
1286	11845	34175
1287	11854	34165
1288	11864	34156
1289	11873	34147
1290	11882	34137
1291	11891	34127
1292	11900	34118
1293	11908	34106
1294	11917	34096
1295	11926	34087
1296	11936	34078
1297	11944	34067
1298	11953	34057
1299	11962	34047
1300	11971	34036
1301	11980	34026
1302	11988	34015
1303	11997	34005
1304	12006	33995
1305	12015	33985
1306	12024	33975
1307	12033	33965
1308	12042	33955
1309	12051	33946
1310	12060	33935
1311	12069	33925
1312	12077	33915
1313	12086	33903
1314	12105	33921
1315	12118	33925
1316	12128	33917
1317	12137	33907
1318	12146	33898
1319	12156	33889
1320	12164	33879
1321	12173	33869
1322	12182	33860
1323	12192	33850
1324	12201	33841
1325	12210	33831
